Compound,Date
84,2021-08-31
72,2021-08-27
99,2021-08-20
98,2021-08-31
50,2021-08-31
38,2021-08-31
71,2021-08-31
28,2021-08-31
50,2021-08-30
44,2021-08-31
50,2021-07-12
60,2021-07-12
36,2021-07-08
60,2021-07-08
38,2021-07-08
50,2021-07-08
67,2021-07-07
50,2021-06-14
69,2020-01-24
50,2021-08-31
37,2021-08-30
56,2021-08-28
50,2021-08-31
37,2021-08-30
56,2021-08-28
50,2021-08-31
50,2021-08-31
37,2021-08-31
61,2021-07-16
50,2021-03-01
50,2021-02-25
50,2021-02-16
50,2021-02-05
50,2021-08-31
50,2021-08-30
50,2021-08-30
50,2021-08-30
68,2021-08-30
